FID,access,bridge,from_,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,tunnel,width,out_pgh,river_bge
11547, , ,105058698,residential, ,0, ,82.821, ,"['Alwyn Street', 'Milan Avenue']",False,"[11807654, 11946694]", , ,104850050, , ,0,0
11548, , ,105708825,residential, ,0, ,13.728, ,Milan Avenue,False,11807654, , ,104850068, , ,0,0
11549, , ,104850087,tertiary, ,0, ,60.377, ,Fairwood Street,True,165597417, , ,3200992098, , ,0,0
11550, , ,107663669,residential, ,0, ,263.689, ,Fairwood Street,False,165597418, , ,104850087, , ,0,0
11551, , ,104850087,tertiary, ,1, ,56.755, ,Mazette Road,True,165597421, , ,1771443821, , ,0,0
11552, , ,1771443821,tertiary, ,0, ,56.942, ,Mazette Road,True,165597419, , ,104850087, , ,0,0
11553, , ,3200992113,service, ,0, ,58.977000000000004, , ,False,314061537, , ,104850087, , ,0,0
11554, , ,1771443875,tertiary, ,0, ,59.671, ,Fairwood Street,True,314061531, , ,104850087, , ,0,0
11555, , ,104850136,service, ,0, ,125.295, ,Stieb Way,False,11712911, , ,104850129, , ,0,0
11556, , ,106101294,residential, ,0, ,59.872, ,North Mathilda Street,False,302198439, , ,104850129, , ,0,0
