Source,Target,Type,Id,bridge,required,out_boundary,distance
683700293,271192643,Directed,42006,1,0,0,88.021
683700293,271192538,Directed,42007,1,0,0,93.353
683700388,683700442,Directed,42008,1,0,0,425.077
683700447,315508553,Directed,42014,1,0,0,864.182
683700449,271195896,Directed,42015,1,0,0,151.981
683700449,683700293,Directed,42016,1,0,0,198.947
683704611,683704622,Directed,42018,1,0,0,340.147
683704622,684996280,Directed,42019,1,0,0,27.117
683704624,271195243,Directed,42022,1,0,0,131.352
683704624,683704622,Directed,42023,1,0,0,341.578
683705100,683705102,Directed,42050,1,0,0,30.045
683705102,683705100,Directed,42052,1,0,0,30.045
683730009,665550144,Directed,42058,1,0,0,157.207
683730009,665550129,Directed,42059,1,0,0,105.489
683730025,1510734116,Directed,42060,1,0,0,144.373
683730025,683730050,Directed,42061,1,0,0,19.59
683730030,683730009,Directed,42062,1,0,0,162.764
683730057,683700398,Directed,42065,1,0,0,158.564
683730063,5312910049,Directed,42066,1,0,0,101.881
683770778,5161996469,Directed,42079,1,0,0,270.947
683770807,683770814,Directed,42081,1,0,0,269.291
683770807,3712997077,Directed,42082,1,0,0,1896.882
683770814,271203168,Directed,42083,1,0,0,388.255
683770814,271203753,Directed,42084,1,0,0,337.068
683770814,683770807,Directed,42085,1,0,0,269.291
684597808,104449098,Directed,42095,1,0,0,50.632
684666723,684666821,Directed,42100,1,0,0,233.337
684666768,684828212,Directed,42101,1,0,0,20.267
684666821,684666857,Directed,42103,1,0,0,189.333
684666821,684666723,Directed,42104,1,0,0,233.337
684666857,684667814,Directed,42105,1,0,0,42.043
684666857,684666869,Directed,42106,1,0,0,27.956
684666869,684667804,Directed,42107,1,0,0,98.019
684666869,684667814,Directed,42108,1,0,0,38.264
684667294,684666768,Directed,42114,1,0,0,393.992
684667294,684668075,Directed,42115,1,0,0,229.983
684667607,684667779,Directed,42116,1,0,0,557.612
684667607,684668075,Directed,42117,1,0,0,282.556
684667779,339261144,Directed,42118,1,0,0,1630.875
684667804,4599846721,Directed,42119,1,0,0,247.563
684667804,684667811,Directed,42120,1,0,0,50.866
684667811,684666821,Directed,42121,1,0,0,229.554
684667811,684666869,Directed,42122,1,0,0,46.202
684667814,684667779,Directed,42123,1,0,0,103.206
684828130,684828137,Directed,42161,1,0,0,307.035
684828130,684842314,Directed,42162,1,0,0,418.899
684828137,684828139,Directed,42163,1,0,0,68.356
684828149,684842463,Directed,42168,1,0,0,128.593
684828150,339255244,Directed,42169,1,0,0,100.619
684828150,339255240,Directed,42170,1,0,0,59.661
684828174,684828130,Directed,42171,1,0,0,1064.28
684828213,684844055,Directed,42175,1,0,0,843.814
684828213,684828175,Directed,42176,1,0,0,580.733
684828449,684844055,Directed,42177,1,0,0,642.41
684842276,1362263187,Directed,42179,1,0,0,203.367
684842276,684828137,Directed,42180,1,0,0,152.79
684842312,684667607,Directed,42182,1,0,0,41.29
684842331,684842311,Directed,42187,1,0,0,293.459
684842389,684842331,Directed,42192,1,0,0,83.376
684842467,736437289,Directed,42205,1,0,0,152.303
684842474,684842460,Directed,42210,1,0,0,162.615
684842474,684842485,Directed,42211,1,0,0,104.219
684842485,684842462,Directed,42212,1,0,0,28.593
684842485,684842463,Directed,42213,1,0,0,13.709
684844042,684842276,Directed,42232,1,0,0,571.302
684844042,684842314,Directed,42233,1,0,0,850.747
684861842,684861893,Directed,42235,1,0,0,618.573
684861842,684907553,Directed,42236,1,0,0,1076.912
684861901,684907614,Directed,42239,1,0,0,874.078
684861903,684861957,Directed,42240,1,0,0,521.769
684861903,684907429,Directed,42241,1,0,0,364.95
684907374,684996047,Directed,42265,1,0,0,836.873
684907382,684907393,Directed,42266,1,0,0,494.159
684907382,684907553,Directed,42267,1,0,0,1542.099
684907417,686152042,Directed,42272,1,0,0,1084.304
684907446,684918257,Directed,42278,1,0,0,261.416
684907476,684907484,Directed,42282,1,0,0,39.011
684907479,684907484,Directed,42284,1,0,0,42.326
684907484,684907408,Directed,42286,1,0,0,70.879
684907588,684907683,Directed,42302,1,0,0,144.285
684907588,684907771,Directed,42303,1,0,0,72.145
684907626,684907627,Directed,42315,1,0,0,87.939
684907711,684861957,Directed,42327,1,0,0,1107.387
684907771,684907588,Directed,42333,1,0,0,70.922
684918257,684996077,Directed,42340,1,0,0,560.68
684918257,684996164,Directed,42341,1,0,0,219.329
684995887,684996030,Directed,42352,1,0,0,381.091
684995937,1459469215,Directed,42360,1,0,0,305.647
684995937,684995887,Directed,42361,1,0,0,512.584
684995950,684995890,Directed,42364,1,0,0,140.732
684996011,684996163,Directed,42374,1,0,0,795.049
684996026,684995950,Directed,42378,1,0,0,313.177
684996030,684996132,Directed,42380,1,0,0,705.824
684996030,684996163,Directed,42381,1,0,0,429.859
684996047,684907374,Directed,42390,1,0,0,836.873
684996085,684996191,Directed,42403,1,0,0,105.614
684996085,684996120,Directed,42404,1,0,0,669.316
684996085,684996173,Directed,42405,1,0,0,538.401
684996132,684907382,Directed,42411,1,0,0,248.019
684996163,684996085,Directed,42412,1,0,0,73.751
684996164,684996173,Directed,42413,1,0,0,800.121
684996164,684996191,Directed,42414,1,0,0,599.602
684996173,684995950,Directed,42415,1,0,0,413.002
684996205,684996132,Directed,42417,1,0,0,512.708
684996205,684996085,Directed,42418,1,0,0,105.414
685065465,5002172346,Directed,42432,1,0,0,319.173
685067165,5002172269,Directed,42446,1,0,0,456.603
685067165,685067222,Directed,42447,1,0,0,405.608
685067199,685106454,Directed,42448,1,0,0,1504.129
685067222,685106565,Directed,42449,1,0,0,83.126
685067266,653107730,Directed,42454,1,0,0,1243.72
685106501,685106508,Directed,42458,1,0,0,210.917
685106575,685106549,Directed,42466,1,0,0,442.72
685106625,685106501,Directed,42480,1,0,0,16.283
685106682,5002172272,Directed,42484,1,0,0,100.42
685113884,685067266,Directed,42491,1,0,0,1359.063
686151135,686151475,Directed,42510,1,0,0,722.486
686151708,5166483233,Directed,42516,1,0,0,517.604
686151904,686152127,Directed,42519,1,0,0,247.341
686151965,104354096,Directed,42526,1,0,0,330.085
686151996,684907402,Directed,42529,1,0,0,2530.647
686152127,686151904,Directed,42533,1,0,0,247.341
686152208,104647894,Directed,42537,1,0,0,426.176
