Source,Target,Type,Id,Label,distance
1,134,Undirected,26548,,480.202
0,12,Undirected,26641,Babcock Boulevard,147.404
12,0,Undirected,26720,Cemetery Lane,167.145
134,137,Undirected,26738,Bloomfield Bridge,419.129
9,144,Undirected,26795,Babcock Boulevard,261.638
9,144,Undirected,26859,Babcock Boulevard,489.783
135,136,Undirected,27022,Bigelow Boulevard,307.035
135,1,Undirected,27023,,418.899
136,1,Undirected,27027,Bigelow Boulevard,68.356
1,1,Undirected,27032,Bigelow Boulevard,128.593
137,1,Undirected,27036,,100.619
137,1,Undirected,27037,Bloomfield Bridge,59.661
1,162,Undirected,27053,"['Crosstown Boulevard', 'Veterans Bridge']",843.814
1,1,Undirected,27054,,580.733
138,53,Undirected,27126,Highland Park Bridge,685.736
22,63,Undirected,27145,Leonard Avenue,84.565
139,2,Undirected,27161,Lebanon Road,742.763
1,162,Undirected,27225,,642.41
1,1,Undirected,27251,Penn-Lincoln Parkway East,308.295
3,62,Undirected,27282,I 79,512.764
1,140,Undirected,27458,Birmingham Bridge,433.067
0,0,Undirected,28202,North Avenue,16.502
0,0,Undirected,28325,Longmount Drive,25.7
3,142,Undirected,28431,Stanhope Street,77.786
1,165,Undirected,28633,Stanwix Street,34.533
1,1,Undirected,28634,,259.928
0,0,Undirected,28693,Cemetery Lane,128.517
2,2,Undirected,28864,"['Shaler Street', 'Minnotte Square']",530.459
140,2,Undirected,29290,Birmingham Bridge,576.851
0,28,Undirected,29410,,336.288
2,3,Undirected,29655,Steubenville Pike,282.822
141,107,Undirected,29868,Penn-Lincoln Parkway East,1130.621
2,2,Undirected,30026,US 19 Truck,404.739
142,2,Undirected,30120,Stanhope Street,76.403
142,3,Undirected,30121,,80.638
143,150,Undirected,30242,,700.641
143,1,Undirected,30243,Boulevard of the Allies,470.809
2,2,Undirected,30624,Penn-Lincoln Parkway West,427.545
2,2,Undirected,30689,Greentree Road,134.369
1,1,Undirected,30801,East Liberty Boulevard,278.764
1,1,Undirected,31014,Boulevard of the Allies,430.978
1,1,Undirected,31052,Baum Boulevard,210.179
2,2,Undirected,31412,Carnahan Road,21.895
1,145,Undirected,31560,Carrie Furnace Boulevard,1074.543
2,2,Undirected,31876,PA 51,313.58
2,2,Undirected,31912,South Main Street,39.149
2,2,Undirected,31919,South Main Street,201.289
146,2,Undirected,31936,West Carson Street,59.559
146,2,Undirected,31937,Steuben Street,40.677
2,2,Undirected,31939,West Carson Street,44.418
147,148,Undirected,31948,West Carson Street,49.92
2,147,Undirected,31958,West Carson Street,44.85
2,2,Undirected,31965,West Carson Street,56.159
2,147,Undirected,31966,South Main Street,34.66
148,146,Undirected,31997,West Carson Street,33.407
148,2,Undirected,31998,Saw Mill Run Boulevard,187.346
4,4,Undirected,32086,Old Freeport Road,450.271
2,2,Undirected,32103,Minnotte Square,86.253
1,140,Undirected,32185,,372.075
2,2,Undirected,32199,Saw Mill Run Boulevard,168.078
1,1,Undirected,32222,Penn Avenue,107.633
2,2,Undirected,32289,US 19 Truck,170.092
2,2,Undirected,32408,Mission Street,332.49
0,0,Undirected,32446,East North Avenue,89.436
1,1,Undirected,32576,South Millvale Avenue,223.408
2,2,Undirected,32729,Idlewood Avenue,148.34
149,6,Undirected,32774,PA 65 Truck,78.125
1,13,Undirected,32800,Boulevard of the Allies,253.904
1,1,Undirected,32849,Boulevard of the Allies,368.692
3,32,Undirected,33097,"['3rd Street', 'Carothers Avenue']",118.576
150,1,Undirected,33296,Penn-Lincoln Parkway East,1109.917
1,20,Undirected,33710,,1043.109
1,1,Undirected,33866,US 30,573.079
0,151,Undirected,34023,West North Avenue,82.638
1,64,Undirected,34387,,336.109
152,1,Undirected,34414,,132.783
152,1,Undirected,34415,,277.774
1,1,Undirected,34436,Penn-Lincoln Parkway East,567.067
0,0,Undirected,34518,"['North Charles Street', 'Swindell Bridge', 'Essen Street']",426.176
1,1,Undirected,35020,"['Greenfield Bridge', 'Beechwood Boulevard', 'Greenfield Road']",792.436
2,2,Undirected,35097,Saw Mill Run Boulevard,455.062
2,2,Undirected,35327,,219.105
154,1,Undirected,35585,,95.418
154,1,Undirected,35586,,67.511
1,1,Undirected,35875,,99.674
0,0,Undirected,35955,Ridge Avenue,68.967
0,0,Undirected,35970,East Ohio Street,88.33
1,154,Undirected,36012,,27.645
0,0,Undirected,36091,,722.486
0,0,Undirected,36179,Ridge Place,45.101
2,2,Undirected,36312,Penn-Lincoln Parkway West,436.808
1,1,Undirected,36340,Penn-Lincoln Parkway East,1589.434
0,0,Undirected,36406,US 19 Truck,517.604
0,0,Undirected,36503,East Street,247.341
0,0,Undirected,36529,Parkway North,2530.647
0,0,Undirected,36843,Parkway North,1843.605
1,1,Undirected,36941,Panther Hollow Road,212.312
155,0,Undirected,37007,,494.159
155,0,Undirected,37008,North Shore Expressway,1542.099
0,0,Undirected,37037,Parkway North,1084.304
0,10,Undirected,37067,North Shore Expressway,261.416
0,156,Undirected,37104,East Street,39.011
0,156,Undirected,37109,,42.326
156,0,Undirected,37115,East Street,70.879
1,1,Undirected,37166,Penn-Lincoln Parkway East,2124.843
0,0,Undirected,37168,,144.285
0,0,Undirected,37169,Chestnut Street,72.145
1,157,Undirected,37189,Laurel Street,108.686
0,0,Undirected,37199,East Ohio Street,87.939
0,52,Undirected,37247,Veterans Bridge,1107.387
158,1,Undirected,37308,,203.367
158,136,Undirected,37309,,152.79
1,70,Undirected,37321,Crosstown Boulevard,41.29
1,1,Undirected,37332,,293.459
1,1,Undirected,37365,,83.376
1,44,Undirected,37408,Centre Avenue,152.303
1,1,Undirected,37411,,162.615
1,159,Undirected,37412,,104.219
159,1,Undirected,37413,,28.593
159,1,Undirected,37414,,13.709
160,0,Undirected,37578,Ridgewood Avenue,329.538
2,2,Undirected,37596,Edgebrook Avenue,194.214
1,1,Undirected,37645,Penn-Lincoln Parkway East,871.215
6,0,Undirected,37847,Brighton Heights Boulevard,304.257
6,149,Undirected,37855,,70.823
161,158,Undirected,38321,,571.302
161,1,Undirected,38322,"['Crosstown Boulevard', 'Veterans Bridge']",850.747
162,51,Undirected,38327,Veterans Bridge,419.11
163,121,Undirected,38372,Fort Pitt Boulevard,157.207
163,1,Undirected,38373,,105.489
164,163,Undirected,38383,Fort Pitt Boulevard,162.764
1,115,Undirected,38402,Penn-Lincoln Parkway East,158.564
165,125,Undirected,38407,Fort Pitt Boulevard,101.881
166,0,Undirected,38504,,210.917
0,0,Undirected,38560,,442.72
0,166,Undirected,38623,,16.283
0,27,Undirected,38641,US 19,100.42
12,0,Undirected,38728,Brookview Lane,185.303
0,12,Undirected,38785,McKnight Road,331.605
1,0,Undirected,38787,"['Chestnut Street', '16th Street', 'David McCullough Bridge']",656.201
2,2,Undirected,39047,Saw Mill Run Boulevard,433.13
1,1,Undirected,40433,"['Chestnut Street', 'Elm Street']",265.69
2,96,Undirected,40897,,47.23
1,164,Undirected,41016,Market Street,31.419
1,163,Undirected,41024,Wood Street,31.445
2,2,Undirected,41373,Creek Street,554.442
168,2,Undirected,41558,,411.795
168,2,Undirected,41559,Penn-Lincoln Parkway West,2052.306
2,2,Undirected,42618,Saw Mill Run Boulevard,691.835
