X,Y,id,modularity,hood_no,hood
589835.0241,4481936.165,104843371,35,79,Stanton Heights
589984.2548,4481864.088,104843378,35,79,Stanton Heights
590380.0225,4482082.948,105171646,35,79,Stanton Heights
589257.0888,4481355.359,106090716,35,79,Stanton Heights
589789.1285,4481791.523,106090733,35,79,Stanton Heights
589930.9646,4481758.634,104979184,35,79,Stanton Heights
590020.7222,4481932.47,104979197,35,79,Stanton Heights
590122.7352,4482138.472,104979223,35,79,Stanton Heights
590245.8306,4482307.362,104979244,35,79,Stanton Heights
590285.2712,4482294.793,104979269,35,79,Stanton Heights
589488.987,4481516.719,104979287,35,79,Stanton Heights
589530.4709,4481486.641,104979297,35,79,Stanton Heights
589753.0095,4481360.405,104979333,35,79,Stanton Heights
589904.9312,4481767.103,104979357,35,79,Stanton Heights
589574.133,4481921.701,2394218733,35,79,Stanton Heights
590487.3041,4482236.441,105046993,35,79,Stanton Heights
590618.9872,4482356.882,105047006,35,79,Stanton Heights
590176.5194,4481682.945,105179313,35,79,Stanton Heights
590543.1261,4482185.76,107474305,35,79,Stanton Heights
589817.9646,4481246.747,3331321748,35,79,Stanton Heights
589546.2086,4481794.362,3331321751,35,79,Stanton Heights
589947.7593,4482152.519,104526007,35,79,Stanton Heights
590093.8278,4482077.408,104526014,35,79,Stanton Heights
590656.5401,4482319.657,106035139,35,79,Stanton Heights
590369.5806,4482345.171,107740897,35,79,Stanton Heights
589594.595,4482378.188,104464511,35,86,Upper Lawrenceville
589083.7166,4481518.143,107480777,35,86,Upper Lawrenceville
589115.8097,4481781.594,105188744,35,86,Upper Lawrenceville
588619.0263,4481605.701,104797871,35,86,Upper Lawrenceville
588756.4135,4481483.856,104797899,35,86,Upper Lawrenceville
588820.7637,4481426.18,104797912,35,86,Upper Lawrenceville
588884.1732,4481365.706,104797929,35,86,Upper Lawrenceville
588946.7299,4481312.162,104797940,35,86,Upper Lawrenceville
588591.9871,4481313.381,104536737,35,86,Upper Lawrenceville
588690.6677,4481540.639,104536744,35,86,Upper Lawrenceville
588768.492,4481677.592,104536750,35,86,Upper Lawrenceville
588848.1678,4481739.787,104536755,35,86,Upper Lawrenceville
588953.1495,4481820.246,104536765,35,86,Upper Lawrenceville
589058.9771,4481902.804,104536774,35,86,Upper Lawrenceville
589208.8752,4481990.208,104536815,35,86,Upper Lawrenceville
589359.0003,4482078.184,104536820,35,86,Upper Lawrenceville
589196.2063,4481412.651,104605447,35,86,Upper Lawrenceville
588794.299,4481981.566,106053214,35,86,Upper Lawrenceville
588834.6729,4481939.57,106053220,35,86,Upper Lawrenceville
589013.5182,4481761.525,106053243,35,86,Upper Lawrenceville
589185.5612,4481592.318,106053265,35,86,Upper Lawrenceville
589103.9476,4482116.228,104808458,35,86,Upper Lawrenceville
589155.1317,4482054.224,104808475,35,86,Upper Lawrenceville
588959.88,4481506.656,105006157,35,86,Upper Lawrenceville
589035.599,4481563.721,105006163,35,86,Upper Lawrenceville
589138.202,4481638.969,105006172,35,86,Upper Lawrenceville
589095.0968,4482129.134,2672381534,35,86,Upper Lawrenceville
589222.4212,4481622.821,107698080,35,86,Upper Lawrenceville
589131.9701,4481644.757,1252089041,35,86,Upper Lawrenceville
588908.8841,4482054.712,1252089097,35,86,Upper Lawrenceville
589254.1185,4481530.399,1252089130,35,86,Upper Lawrenceville
588897.7289,4481560.438,105804405,35,86,Upper Lawrenceville
588973.5468,4481619.157,105804412,35,86,Upper Lawrenceville
589078.1176,4481697.859,105804421,35,86,Upper Lawrenceville
588519.0814,4481374.144,106014918,35,86,Upper Lawrenceville
588704.4488,4481736.038,106014934,35,86,Upper Lawrenceville
588785.5378,4481799.148,106014944,35,86,Upper Lawrenceville
588892.1812,4481880.282,106014953,35,86,Upper Lawrenceville
589304.8375,4482140.34,106014963,35,86,Upper Lawrenceville
588940.3688,4482021.759,105691901,35,86,Upper Lawrenceville
589000.4195,4481962.545,105691916,35,86,Upper Lawrenceville
589205.3116,4481564.743,104514118,35,86,Upper Lawrenceville
589249.9967,4482203.276,107530204,35,86,Upper Lawrenceville
588526.9862,4481964.009,106090637,35,86,Upper Lawrenceville
588658.5893,4481795.256,106090650,35,86,Upper Lawrenceville
588833.2067,4481619.787,106090670,35,86,Upper Lawrenceville
589026.6177,4481445.091,106090697,35,86,Upper Lawrenceville
589211.0216,4482248.007,104456481,35,86,Upper Lawrenceville
589171.1646,4481445.291,104456505,35,86,Upper Lawrenceville
588908.5548,4481683.075,107537292,35,86,Upper Lawrenceville
582409.1,4482556.371,107635912,36,13,Brighton Heights
582622.7646,4482072.735,105178008,36,13,Brighton Heights
585050.5573,4478484.106,684907458,36,26,East Allegheny
584102.3725,4481799.076,686151996,36,58,Northview Heights
583409.7285,4482775.798,107743210,36,61,Perry North
583331.694,4482346.717,3567193885,36,61,Perry North
583260.2367,4482382.767,3567193889,36,61,Perry North
583321.4746,4482868.256,104927320,36,61,Perry North
583405.9107,4482863.503,104927334,36,61,Perry North
583345.987,4482703.171,104927440,36,61,Perry North
583334.0399,4482784.213,104927445,36,61,Perry North
583298.5526,4483021.525,104927475,36,61,Perry North
583284.0547,4483118.592,104927490,36,61,Perry North
582749.5941,4482436.182,104536384,36,61,Perry North
582800.3877,4482598.772,104536390,36,61,Perry North
582812.3515,4482633.586,104536403,36,61,Perry North
582814.4203,4482640.414,104536413,36,61,Perry North
582971.773,4482952.914,104536464,36,61,Perry North
582967.2747,4481747.931,104603610,36,61,Perry North
583235.0631,4481703.359,104603692,36,61,Perry North
582708.8976,4481871.594,104603820,36,61,Perry North
583201.6863,4481707.45,104604046,36,61,Perry North
583212.6671,4481794.786,104604062,36,61,Perry North
583416.4663,4482610.204,104735799,36,61,Perry North
583425.9267,4482695.17,104735816,36,61,Perry North
582477.461,4482934.167,106048156,36,61,Perry North
583176.8418,4482426.035,4791807056,36,61,Perry North
583327.8481,4483095.644,4791807053,36,61,Perry North
583886.8724,4482263.246,836055544,36,61,Perry North
583198.4822,4482857.861,3646961382,36,61,Perry North
583219.303,4483397.265,454965754,36,61,Perry North
582850.2408,4482526.287,104610797,36,61,Perry North
582929.4176,4482598.636,104610818,36,61,Perry North
582503.0138,4482742.214,106314957,36,61,Perry North
583003.5907,4483014.681,107561668,36,61,Perry North
583062.0875,4482873.597,107561689,36,61,Perry North
583449.4679,4483382.767,105137569,36,61,Perry North
583415.2003,4483405.077,5166483106,36,61,Perry North
583739.8152,4482995.259,5166483462,36,61,Perry North
583797.9645,4482866.788,5166483548,36,61,Perry North
583857.888,4482548.543,5166483565,36,61,Perry North
583045.0836,4483315.54,105728929,36,61,Perry North
583370.5688,4482306.918,105729003,36,61,Perry North
583239.411,4482493.163,105729008,36,61,Perry North
583517.3604,4482145.252,106125815,36,61,Perry North
583854.0941,4482214.142,105929255,36,61,Perry North
582716.0618,4482694.489,104881247,36,61,Perry North
582645.5445,4482734.263,104881259,36,61,Perry North
583340.2261,4483022.3,107569451,36,61,Perry North
582714.1196,4482467.029,105997034,36,61,Perry North
582683.4433,4482485.563,105997041,36,61,Perry North
583527.9444,4483337.461,106128243,36,61,Perry North
582597.497,4482842.317,106326404,36,61,Perry North
582927.4422,4482780.569,3782044067,36,61,Perry North
582791.9059,4482136.897,104624073,36,61,Perry North
582667.4922,4482910.21,104560337,36,61,Perry North
582492.5977,4482990.286,104560355,36,61,Perry North
583942.7468,4482092.708,1133475926,36,61,Perry North
582605.973,4482665.063,106002877,36,61,Perry North
583112.5126,4482357.011,2501737501,36,61,Perry North
582645.1385,4482639.862,104631685,36,61,Perry North
582763.5217,4482616.015,107649740,36,61,Perry North
583139.2529,4482723.872,105817007,36,61,Perry North
583007.379,4482871.946,105817028,36,61,Perry North
583254.8005,4483020.172,106015653,36,61,Perry North
583615.0742,4482589.686,5010206381,36,61,Perry North
583039.085,4483287.919,5010207473,36,61,Perry North
