FID,highway,lat,lon,osmid,ref,out_pgh,river_bge,ngh_name
10016, ,40.4008409,-79.908961,105720654, ,1,0,
10017, ,40.449988,-80.042347,105720685, ,0,0,Elliott
10018,traffic_signals,40.4090431,-79.9031906,105720853, ,1,0,
10019, ,40.4559026,-80.0078052,105720873, ,0,0,Central Northside
10020, ,40.4558005,-80.008287,105720881, ,0,0,Central Northside
10021, ,40.4557016,-80.0088149,105720892, ,0,0,Central Northside
10022, ,40.4553119,-80.0107872,105720902, ,0,0,Central Northside
10023, ,40.455205,-80.0112669,105720908, ,0,0,Central Northside
10024, ,40.4550103,-80.0122928,105720919, ,0,0,Central Northside
10025, ,40.4547027,-80.0143383,105720924, ,0,0,Central Northside
10026, ,40.4546158,-80.0147858,105720931, ,0,0,Central Northside
10027, ,40.4246395,-79.9403493,105720974, ,0,0,Greenfield
10028, ,40.4247467,-79.9398064,105720982, ,0,0,Greenfield
10029, ,40.4274356,-80.0106969,105721227, ,0,0,Mount Washington
10030, ,40.4254326,-80.0125557,105721240, ,0,0,Mount Washington
10031, ,40.4254611,-80.0130867,105721245, ,0,0,Mount Washington
10032, ,40.4680798,-79.9457032,105721262, ,0,0,Garfield
10033, ,40.4679267,-79.9446277,105721271, ,0,0,Garfield
10034, ,40.4671032,-79.9388001,105721279, ,0,0,Garfield
10035, ,40.4093974,-80.0846292,105721308, ,1,0,
10036, ,40.4104947,-80.082906,105721312, ,1,0,
10037, ,40.4108117,-80.082412,105721319, ,1,0,
10038, ,40.4669983,-79.9379195,105721342, ,0,0,Garfield
10039, ,40.3735896,-79.9875681,105721387, ,1,0,
10040,traffic_signals,40.4078745,-79.9092867,105721534, ,1,0,
10041,traffic_signals,40.408786,-79.9074536,105721546, ,1,0,
10042, ,40.408807,-79.9070564,105721549, ,1,0,
10043, ,40.4088622,-79.9060094,105721555, ,1,0,
10044,traffic_signals,40.40889,-79.9054832,105721563, ,1,0,
10045, ,40.4089432,-79.9046868,105721571, ,1,0,
10046, ,40.4091598,-79.9011466,105721577, ,1,0,
10047, ,40.4092534,-79.899507,105721583, ,1,0,
10048,traffic_signals,40.409288,-79.8986662,105721591, ,1,0,
10049, ,40.4092278,-79.8978201,105721601, ,1,0,
10050,traffic_signals,40.4086934,-79.8952119,105721613, ,1,0,
10051, ,40.4216416,-79.8919283,105721860, ,1,0,
10052, ,40.4217511,-79.8915657,105721867, ,1,0,
10053, ,40.4761859,-79.9765206,105722025, ,1,0,
10054, ,40.4764129,-79.9763718,105722031, ,1,0,
10055, ,40.4406381,-79.9783093,105722503, ,0,0,Terrace Village
10056, ,40.3995788,-80.0443182,105722511, ,0,0,Banksville
10057,traffic_signals,40.4009033,-80.048369,105722524, ,0,0,Banksville
