name,lat,lon,label,component
104199134,40.4885754,-79.8853111,,1
5010207112,40.5000464,-80.0217616,,1
5010207117,40.5004287,-80.020948,,1
2672515084,40.5004942,-80.0207976,,1
2090330556,40.5005584,-80.0206314,,1
2672515090,40.5006181,-80.0204239,,1
2672515095,40.5006926,-80.0201535,,1
104199249,40.5007704,-80.0198282,,1
2672515102,40.5008394,-80.0195467,,1
2672515106,40.5008684,-80.0194394,,1
2672515107,40.5008747,-80.0193609,,1
2672515105,40.500866,-80.0192206,,1
104199256,40.5008354,-80.018751,,1
104199274,40.5015245,-80.0186275,,1
2672515139,40.5014056,-80.0186428,,1
2672515136,40.5013568,-80.0186809,,1
2672515125,40.501276,-80.0187036,,1
2672515115,40.5009723,-80.0187407,,1
2672515087,40.5005352,-80.0187923,,1
104199281,40.5000746,-80.0188554,,1
2672515097,40.5006967,-80.0197742,,1
2672515091,40.5006429,-80.0197487,,1
2672515088,40.5005619,-80.0197319,,1
2672515082,40.5004431,-80.0197195,,1
2672515076,40.5003055,-80.0197246,,1
2672515074,40.5002572,-80.0197253,,1
2672515073,40.5002295,-80.0197166,,1
104199306,40.5002089,-80.0197034,,1
2672515068,40.5001939,-80.0196845,,1
2672515066,40.5001734,-80.0196531,,1
2672515065,40.5001595,-80.0195969,,1
2672515062,40.5001285,-80.0194181,,1
2672515059,40.5000913,-80.0192743,,1
2672515057,40.5000741,-80.0191685,,1
2672515056,40.5000663,-80.0190408,,1
2672515060,40.5000924,-80.0187599,,1
2672515061,40.5001224,-80.0186373,,1
104199318,40.5001695,-80.0185183,,1
2672515070,40.5002228,-80.0184242,,1
2672515075,40.5002755,-80.0183643,,1
2672515077,40.5003465,-80.0183205,,1
2672515081,40.5004248,-80.0182994,,1
2672515096,40.5006954,-80.0182011,,1
2672515104,40.5008531,-80.0181722,,1
2672515112,40.500934,-80.0181773,,1
104199326,40.5009928,-80.0182145,,1
2672515119,40.5011309,-80.0183641,,1
2672515122,40.5012628,-80.0185055,,1
2672515137,40.5013601,-80.0185788,,1
104199343,40.3816335,-80.0025615,,1
104199350,40.3812488,-80.0022459,,1
104199358,40.380872,-80.0019328,,1
104199796,40.4136038,-79.992956,,1
104199801,40.4136209,-79.9919982,,1
4211593789,40.3899236,-79.9993793,,1
1737373488,40.3897296,-79.9993442,,1
104200786,40.3889301,-79.9991999,,1
104200808,40.3621137,-79.9045997,,1
104498273,40.3620773,-79.9047306,,1
104200823,40.361964,-79.9051217,,1
104200828,40.3618831,-79.9054314,,1
104200836,40.3617847,-79.9057676,,1
104200866,40.3615837,-79.9043555,,1
104201157,40.3883752,-80.0059114,,1
