Id,Label,timeset,d9,d8,d7,d6,d5,d2,d1,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,Cluter-ID,clustering,triangles,eigencentrality
1027080622,1027080622,,,,4473208.528163,582360.125238,POINT (582360.1252378544 4473208.528162825),1027080622,-80.0293833,40.4054188,1,1,73,0.026701,0.030621,0,45,0.000029,2,0,0,0,0.053803
2401960367,2401960367,,,turning_circle,4475467.067752,592471.819147,POINT (592471.8191473966 4475467.067751751),2401960367,-79.9099077,40.424701,1,1,67,0.025843,0.028817,0,34,0.000029,1,0,0,0,0.045815
105054638,105054638,,,,4478192.146456,592523.118639,POINT (592523.1186385389 4478192.146456279),105054638,-79.9089063,40.4492414,1,1,81,0.02112,0.024663,0,43,0.00003,1,0,0,0,0.051521
104464817,104464817,,,turning_circle,4470596.923318,586251.840569,POINT (586251.8405694789 4470596.923317921),104464817,-79.9838797,40.3815,1,1,72,0.023328,0.027207,0,62,0.000027,2,0,0,0,0.074363
105054645,105054645,,,,4478138.218205,592651.005595,POINT (592651.0055951331 4478138.218205403),105054645,-79.9074063,40.4487414,3,3,80,0.021576,0.025645,0.000278,43,0.000075,1,0,0,0,0.152641
104464828,104464828,,,,4470362.489338,586175.171016,POINT (586175.1710158081 4470362.489337792),104464828,-79.9848145,40.3793962,3,3,72,0.023427,0.028019,0.000661,62,0.000057,2,0,0,0,0.242147
105906625,105906625,,,,4481822.954373,586683.871677,POINT (586683.8716767062 4481822.954373048),105906625,-79.9772598,40.4825758,3,3,81,0.023548,0.026361,0.000485,22,0.000083,0,0,0,0,0.100338
105906635,105906635,,,,4481890.028578,586664.504548,POINT (586664.5045478675 4481890.028578436),105906635,-79.9774791,40.483182,1,1,82,0.023006,0.025469,0,22,0.000033,0,0,0,0,0.039487
105054667,105054667,,,,4483315.915754,591012.557803,POINT (591012.5578033749 4483315.915754003),105054667,-79.9259817,40.4955604,3,3,86,0.021829,0.025184,0.000001,27,0.000057,5,0,0.333333,1,0.23907
105054677,105054677,,,,4483321.755624,591064.542805,POINT (591064.5428049659 4483321.755623961),105054677,-79.9253675,40.4956073,3,3,85,0.022305,0.025804,0.000101,27,0.000057,5,0,0.333333,1,0.248714
104202717,104202717,,,,4468903.0082,592638.325455,POINT (592638.3254552453 4468903.008200309),104202717,-79.9089001,40.3655564,4,4,80,0.020358,0.02401,0.002127,67,0.000076,2,0,0,0,0.338785
104464864,104464864,,,,4479845.718715,594030.057223,POINT (594030.0572225278 4479845.718715082),104464864,-79.8908937,40.4639667,3,3,97,0.018353,0.021805,0.000081,28,0.000064,1,0,0,0,0.176469
104530404,104530404,,,,4480388.260128,579583.573169,POINT (579583.5731694244 4480388.260128211),104530404,-80.0612016,40.4703632,3,3,81,0.024135,0.027549,0.00013,10,0.000078,3,0,0,0,0.111733
104202725,104202725,,,,4468897.383042,592550.360091,POINT (592550.3600906887 4468897.383041767),104202725,-79.9099368,40.3655155,3,3,80,0.020347,0.023824,0.000402,67,0.000058,2,0,0,0,0.263745
105710056,105710056,,,,4478280.159939,587749.394252,POINT (587749.3942517508 4478280.159939377),105710056,-79.9651801,40.4505518,3,3,67,0.03053,0.035536,0.00195,8,0.000062,1,0,0,0,0.205505
2324627947,2324627947,,,,4473298.606811,576715.312269,POINT (576715.3122692539 4473298.6068106),2324627947,-80.0958886,40.4067695,3,3,83,0.020963,0.02365,0.000139,5,0.000063,3,0,0,0,0.208262
104530412,104530412,,,,4480444.741773,579563.514994,POINT (579563.5149937855 4480444.741772542),104530412,-80.0614311,40.4708739,3,3,80,0.024661,0.028284,0.000239,10,0.000072,3,0,0,0,0.149859
105775601,105775601,,,,4473863.115905,585300.713816,POINT (585300.7138157422 4473863.115905192),105775601,-79.9946456,40.4110191,3,3,62,0.028382,0.03232,0.00088,9,0.000059,2,0,0,0,0.231609
105710065,105710065,,,turning_circle,4468625.398419,585786.516571,POINT (585786.516570756 4468625.398419422),105710065,-79.9896261,40.3637889,1,1,78,0.020675,0.023629,0,44,0.000026,2,0,0,0,0.056274
105775606,105775606,,,,4473853.052071,585109.692177,POINT (585109.6921774566 4473853.052071081),105775606,-79.996898,40.410948,3,3,61,0.029005,0.033066,0.001544,9,0.000059,2,0,0,0,0.229892
105710074,105710074,,,,4468546.652246,585567.229338,POINT (585567.2293377648 4468546.652246117),105710074,-79.992219,40.3631021,3,3,77,0.021111,0.02454,0.00023,44,0.000061,2,0,0,0,0.174451
107610633,107610633,,,,4473302.494697,580369.316572,POINT (580369.3165720011 4473302.494696876),107610633,-80.0528301,40.4064598,3,3,76,0.024761,0.028503,0.000275,65,0.000062,2,0,0,0,0.184401
104792590,104792590,,,,4483127.266737,582079.917374,POINT (582079.9173740075 4483127.266737088),104792590,-80.0314031,40.4947926,3,3,78,0.023918,0.027407,0.000709,24,0.000068,0,0,0.333333,1,0.160381
