id,osm_node_i,lat,lon,modularity,wprdc_hood,hood_no
21770,107625230,40.4648045,-80.0198359,4,Perry South,62
21952,105253526,40.4590404,-80.020142,4,California-Kirkbride,15
21953,107648184,40.460185,-80.0204988,4,California-Kirkbride,15
21978,104911813,40.4663076,-80.0180694,4,Perry South,62
22115,105095113,40.4588236,-80.0140645,4,Central Northside,19
22155,685067249,40.4627799,-80.0279836,4,California-Kirkbride,15
22156,106039431,40.4637677,-80.0226684,4,Perry South,62
22193,104911757,40.4626756,-80.0174555,4,Perry South,62
22194,104725973,40.4620712,-80.0182698,4,Perry South,62
22257,104712716,40.4547155,-80.0105981,4,Allegheny Center,1
22266,2810382546,40.4616132,-80.0058849,4,Fineview,33
22267,2810382592,40.460795,-80.0055098,4,Fineview,33
22313,107673841,40.4605752,-80.004203,4,Fineview,33
22314,3574752997,40.4626502,-80.0048621,4,Fineview,33
22766,104726064,40.4702266,-80.0126986,4,Perry South,62
22767,104613314,40.4724638,-80.0134201,4,Perry South,62
22768,107547560,40.4741226,-80.0135164,4,Perry South,62
22769,3195259014,40.4744762,-80.0135268,4,Perry South,62
22770,105976668,40.4781183,-80.0133677,4,Perry North,61
22794,107743857,40.4590823,-80.002776,4,Fineview,33
22808,104712701,40.4550906,-80.0086152,4,Allegheny Center,1
22809,5335982559,40.4561016,-80.0068382,4,Central Northside,19
22810,107557537,40.4572898,-80.0072258,4,Central Northside,19
23219,5010208502,40.4781723,-80.0120587,4,Perry North,61
23220,5010208510,40.4784504,-80.0120026,4,Perry North,61
23797,686152145,40.4711967,-80.0079203,4,Perry South,62
24411,104712752,40.4539911,-80.0145705,4,Central Northside,19
24412,5505696689,40.4540239,-80.0145818,4,Central Northside,19
24413,693821141,40.4555705,-80.0182209,4,California-Kirkbride,15
24415,107530035,40.4556611,-80.0177268,4,California-Kirkbride,15
24416,3830208913,40.4539389,-80.0149204,4,Central Northside,19
24417,693821300,40.4587389,-80.0234844,4,California-Kirkbride,15
24418,105115534,40.4587857,-80.0234519,4,California-Kirkbride,15
24575,3775783162,40.4536235,-80.0144318,4,Allegheny Center,1
24594,105003160,40.4599833,-80.0255604,4,Manchester,49
24909,105095092,40.4576991,-80.0136981,4,Central Northside,19
24910,105046858,40.4599831,-80.0023472,4,Fineview,33
24911,105217181,40.4608709,-80.0026622,4,Fineview,33
24912,104911744,40.460096,-80.0161267,4,Perry South,62
25079,1446482155,40.466609,-80.0180198,4,Perry South,62
25838,5002328892,40.4742059,-80.0104086,4,Perry South,62
26441,3167104178,40.4539326,-80.0149627,4,Central Northside,19
26469,104647845,40.4698495,-80.0067847,4,Perry South,62
26470,3195259033,40.4643451,-80.0187275,4,Perry South,62
26471,105819728,40.4615427,-80.0114413,4,Perry South,62
26472,104851870,40.4653435,-80.0086683,4,Fineview,33
26475,104647825,40.4685528,-80.0063546,4,Perry South,62
26476,104647864,40.4704629,-80.006957,4,Perry South,62
26477,3195259085,40.4773399,-80.0157268,4,Perry North,61
26838,3625905962,40.4620896,-80.0008827,4,Fineview,33
26841,3627548944,40.4610354,-80.0239486,4,California-Kirkbride,15
26859,3629376540,40.4608301,-80.0021856,4,Fineview,33
26906,104685404,40.456463,-80.0174351,4,California-Kirkbride,15
