id,label,timeset,osm_node_id,lat,lon,osm_label,neighborhood,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,componentnumber,strongcompnum
11419,105172117,,105172117,40.4457261,-79.8422049,,,0,1,1,0.0,1.0,1.0,5.0,0.35294117647058826,0.46388888888888896,0.0,0.0,0.0,30,0,24360
11420,105172107,,105172107,40.4463317,-79.842707,,,1,2,3,1.0,2.0,3.0,4.0,0.45454545454545453,0.6166666666666667,5.0,0.0,0.0,30,0,24359
11421,105172100,,105172100,40.4468548,-79.8445689,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,24357
11422,105172358,,105172358,40.4124412,-79.8809115,,,1,2,3,1.0,2.0,3.0,4.0,0.4375,0.5595238095238095,35.0,0.0,0.0,29,0,13403
11423,105172348,,105172348,40.4119835,-79.8811149,Rankin Boulevard at Hawkins,,2,1,3,2.0,1.0,3.0,4.0,0.4166666666666667,0.5166666666666667,32.0,0.0,0.0,29,0,13402
11424,105172994,,105172994,40.5018965,-79.9783767,,,0,3,3,0.0,3.0,3.0,3.0,0.6,0.7222222222222222,0.0,0.0,0.0,78,0,24362
11425,105173002,,105173002,40.501448,-79.9794888,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,0,24361
11426,1687095845,,1687095845,40.4997891,-79.9774883,,,1,2,3,1.0,2.0,3.0,3.0,0.5714285714285714,0.7083333333333334,8.0,0.0,0.0,78,0,17077
11427,105173056,,105173056,40.5017372,-79.9783647,,,2,1,3,2.0,1.0,3.0,2.0,0.6666666666666666,0.75,8.0,0.0,0.0,78,0,17076
11428,105173067,,105173067,40.4047844,-80.0784273,,,2,1,3,2.0,1.0,3.0,3.0,0.5,0.5833333333333334,2.0,0.0,0.0,66,0,15696
11429,105173083,,105173083,40.3600617,-80.1157735,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,2904
11430,105173092,,105173092,40.360735,-80.1135458,,,2,1,3,2.0,1.0,3.0,2.0,0.6,0.6666666666666666,5.0,0.0,0.0,16,0,2903
11431,105173360,,105173360,40.3415182,-80.1221121,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,16,0,8993
11432,105173378,,105173378,40.3425819,-80.1233546,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,8992
11433,105173563,,105173563,40.5004198,-79.9826652,,,1,2,3,1.0,2.0,3.0,2.0,0.75,0.8333333333333334,9.0,0.0,0.0,78,0,8361
11434,105173576,,105173576,40.3986049,-80.0172034,,Brookline,0,1,1,0.0,1.0,1.0,6.0,0.28,0.3857142857142857,0.0,0.0,0.0,50,0,24363
