source,target,id,osm_way_id,osm_bridge_relation_id,osm_bridge,osm_highway,osm_label,bridge_id,distance,within_boundaries
1284,1285,336,11688279,,,,Monongahela Avenue,,83.4230421,FALSE
1289,1290,337,11688294,,,,Monongahela Avenue,,48.73354358,FALSE
1291,1292,338,11688294,,,,Monongahela Avenue,,52.15163039,FALSE
1303,1304,339,11688383,,,,Windvale Drive,,101.7051587,FALSE
1304,1305,340,11688383,,,,Windvale Drive,,93.66660897,FALSE
1307,1308,341,11688419,,,,South Montgomery Street,,34.52131383,FALSE
1317,1318,342,11688516,,,,Lafayette Road,,14.75277857,FALSE
1321,1322,343,11688526,,,,Schuchert Street,,128.7146623,TRUE
1325,1326,344,11688550,,,,Stancey Road,,112.9468654,FALSE
1327,1328,345,11688568,,,,Johnston Road,,107.8328925,FALSE
1333,1334,346,11688617,,,,Alsop Road,,53.14691256,FALSE
1335,1336,347,11688617,,,,Alsop Road,,63.12139938,FALSE
1338,1339,348,11688644,,,,Beaver Avenue,,89.36485453,TRUE
1343,1344,349,11688651,,,,Beaver Avenue,,143.0262659,FALSE
1347,1348,350,11688667,,,,White Birch Circle,,107.8797073,FALSE
1355,1356,351,11688684,,,,Penham Lane,,79.4599522,TRUE
1367,1368,352,11688790,,,,Marie Street,,154.5312094,FALSE
1375,1376,353,11688829,,,,Old Freeport Road,,5.177393691,FALSE
1384,1385,354,11688863,,,,Louise Street,,76.57224961,FALSE
1388,1389,355,11688898,,,,Metropolitan Street,,237.3243616,TRUE
1393,1394,356,11688907,,,,Clairtonic Street,,10.47182678,TRUE
1395,1396,357,11688907,,,,Clairtonic Street,,57.05843439,TRUE
1397,1398,358,11688929,,,,Doray Drive,,217.4397038,FALSE
1400,1401,359,11688949,,,,Arcania Street,,41.82050815,FALSE
1402,1403,360,11688953,,,,Cain Way,,79.73665001,TRUE
1405,1406,361,11688963,,,,Hodgkiss Way,,52.47308877,TRUE
1411,1412,362,11688986,,,,Talbot Avenue,,37.13392349,FALSE
1412,1413,363,11688986,,,,Talbot Avenue,,35.69402846,FALSE
1414,1415,364,11688986,,,,Talbot Avenue,,48.54918186,FALSE
1415,1416,365,11688986,,,,Talbot Avenue,,50.17065113,FALSE
1418,1419,366,11688990,,,,Talbot Avenue,,45.68300978,FALSE
1419,1420,367,11688990,,,,Talbot Avenue,,41.18744942,FALSE
1420,1421,368,11688990,,,,Talbot Avenue,,183.9788924,FALSE
1430,1431,369,11689007,,,,Glenny Lane,,193.1592695,FALSE
1432,1433,370,11689012,,,,Fliener Street,,71.2875502,FALSE
1433,1434,371,11689012,,,,Fliener Street,,44.59069838,FALSE
1435,1436,372,11689024,,,,Carmen Street,,35.34206303,TRUE
1436,1437,373,11689024,,,,Carmen Street,,37.67276846,TRUE
1128,1439,374,11689061,,,,North Linwood Avenue,,51.16146409,FALSE
1128,1440,375,11689061,,,,North Linwood Avenue,,49.34611319,FALSE
1440,1441,376,11689061,,,,North Linwood Avenue,,71.92803697,FALSE
1441,1442,377,11689061,,,,North Linwood Avenue,,79.77137062,FALSE
925,1443,378,11689061,,,,North Linwood Avenue,,60.07623848,FALSE
1442,1443,379,11689061,,,,North Linwood Avenue,,79.93686243,FALSE
732,1444,380,11831283,,,,Glasgow Road,,10.89808126,FALSE
1447,1448,381,11689066,,,,Wilmerding Avenue,,22.97314946,FALSE
1451,1452,382,11689073,,,,Old Ox Road,,278.4423633,FALSE
1452,1453,383,11689073,,,,Old Ox Road,,41.12861635,FALSE
1462,1463,384,11689087,,,,Edgewood Road,,33.96195285,FALSE
256,1475,385,11691013,,,,Termon Avenue,,75.39051045,TRUE
1488,1489,386,11689231,,,,Baldwin Street,,61.17873151,FALSE
517,1491,387,11689236,,,,Baldwin Street,,17.91159421,FALSE
839,1494,388,11689244,,,,Baldwin Street,,43.65583111,FALSE
839,1495,389,11689244,,,,Baldwin Street,,35.19814705,FALSE
569,1496,390,11689254,,,,Kerr Street,,98.94034045,TRUE
1497,1498,391,11689285,,,,McCaslin Street,,30.99685284,TRUE
1499,1500,392,11689285,,,,McCaslin Street,,74.61784577,TRUE
1502,1503,393,11689288,,,,Richmond Street,,135.3592925,TRUE
1510,1511,394,11689320,,,,Naugle Street,,105.1622558,TRUE
1512,1513,395,11689326,,,,Inglis Street,,45.23882003,TRUE
1515,1516,396,11689331,,,,Lewin Lane,,26.06743926,FALSE
1522,1523,397,11689338,,,,Oranmore Street,,13.28009903,TRUE
1526,1527,398,11689342,,,,Sunrise Avenue,,8.029279985,TRUE
1527,1528,399,11689342,,,,Sunrise Avenue,,39.26905391,TRUE
701,1529,400,11689342,,,,Sunrise Avenue,,21.73943855,TRUE
1528,1529,401,11689342,,,,Sunrise Avenue,,49.973774,TRUE
1537,1538,402,11689389,,,,Esplen Street,,36.18218481,TRUE
1539,1540,403,11689393,,,,Admiral Dewey Avenue,,186.7557424,FALSE
1540,1541,404,11689393,,,,Admiral Dewey Avenue,,64.76481733,FALSE
1543,1544,405,11689395,,,,Kennett Square,,64.27374123,TRUE
1546,1547,406,11689433,,,,Ferry Street,,69.25952335,FALSE
1548,1549,407,11689439,,,,Tiffany Circle,,57.4677989,FALSE
1550,1551,408,11689442,,,,Kevin Drive,,152.2807951,FALSE
1555,1556,409,11689452,,,,Fleck Street,,64.4299913,TRUE
1559,1560,410,11689462,,,,Kennett Street,,84.01160546,FALSE
1568,1569,411,11689490,,,,Fiat Street,,39.03960106,TRUE
1569,1570,412,11689490,,,,Fiat Street,,67.25641611,TRUE
1573,1574,413,11689520,,,,Festival Street,,33.12126792,TRUE
1574,1575,414,11689520,,,,Festival Street,,37.56375115,TRUE
1576,1577,415,11689531,,,,Wainwright Avenue,,65.65110362,FALSE
1578,1579,416,11689531,,,,Wainwright Avenue,,65.99558212,FALSE
1579,1580,417,11689531,,,,Wainwright Avenue,,48.80512842,FALSE
