node_index,bridge_id,direction
100312,9233488,to
100315,9233488,from
100315,9233488,to
100316,9233488,from
100316,9233488,from
100316,9233488,to
100316,9233488,to
100317,55189326,from
100317,55189326,to
100318,55189326,from
100318,55189326,from
100318,55189326,to
100318,55189326,to
100319,55189326,from
100319,55189326,from
100319,55189326,to
100319,55189326,to
100320,55189328,from
100320,55189328,from
100320,55189328,to
100320,55189328,to
100321,55189328,from
100321,55189328,to
100517,9340973,from
100517,9340973,to
100518,9340973,from
100518,3979944,from
100518,3979944,from
100518,9340973,to
100518,3979944,to
100518,9340973,to
100518,3979944,to
100519,9340973,from
100519,9340973,from
100519,9340973,to
100519,9340973,to
100573,55320822,from
100573,55320822,to
100575,55320822,from
100575,55320822,to
100576,55321245,from
100576,55321245,to
100609,55410190,from
100609,55410190,to
100658,4559140,from
100658,4559140,to
100659,4559140,from
100659,4559140,from
100659,4559140,to
100659,4559140,to
101252,9053216,from
101253,9053216,from
101253,9053216,to
101254,9053216,from
101254,9053216,to
101255,9053216,from
101255,9053216,to
102090,374188428,from
102090,374188428,to
102151,9248100,from
102151,9248100,to
102152,9248100,from
102152,9248100,to
102153,9248100,from
102153,9248100,to
102154,9248100,from
102154,9248100,to
102155,9248100,from
102155,9248100,to
102156,9248100,from
102156,9248100,to
102207,9248082,from
102207,9248082,to
102208,9248082,from
102208,9248082,to
102209,9248082,to
102608,9229286,from
102608,9229286,to
102609,9229286,from
102609,9229286,to
102610,9229286,from
102610,9229286,to
102611,9229286,from
102611,9229286,to
102888,511174080,from
102889,67076756,from
102889,67076756,to
102896,280957324,from
102896,280957324,to
103688,4799820,from
103688,4799820,to
103689,4799820,from
103689,4799820,from
103689,4799820,to
103689,4799820,to
104724,4245926,from
104724,4245926,to
104771,4245922,from
104771,4245922,to
104772,4245922,from
104772,4245922,from
104772,4245922,to
104772,4245922,to
104773,4245922,from
104773,4245922,from
104773,4245922,to
104773,4245922,to
105022,9229359,from
105022,9229359,to
105023,9229359,from
105023,9229359,to
105024,9229359,from
105024,9229359,to
105025,9229359,from
105025,9229359,to
105026,9229359,from
105026,9229359,to
105027,9229359,from
105027,9229359,to
105028,9229359,from
105028,9229359,to
105029,9229359,from
105029,9229359,to
105030,9229359,from
105030,9229359,to
